SPANISH,ENGLISH,ETYMON_GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
descomponer,,,,
"descomponerlo [ETR,-ERH]",,,,
descomponerlo [ETR] [ERH],,,,
descomponerse,,,,
descompuesto [ETR],,,,
descontar [ERH],,CHANGE,,
descontarlo [ERH],"to hold something back from somebody's pay [ERH], to garnish him",CUT,,
desearlo [ERH],,,,
desear,,PAIN,2117,DESIRE
deseo,,,,
desgraciado,,WITCHCRAFT,,
desgranar,,,285,THRESH
"desgranarlo [ERH,-ETR]",to shell dry corn [ETR],,,
desgranar mai*z,,,,
desgranar mazorca,,,,
deshilachar,,BREAK,,
desierto,,,3687,DESERT
desigualar,,BREAK,,
desnudo,,NAKED,590,NAKED
desnudo,,PULL,590,NAKED
desocupado,,,,
desocupado; campo libre,,,,
desocupar,,,,
despacio,,FINE,701,SLOW
despacio,,SOFT,701,SLOW
despedazar,chop up,BREAK,,
"despedazar - pan, frutas, carne",chop up,BREAK,,
despedirle [ERH],,ANSWER,,
despegado [ERH],,STICKY,,
despejado,,MIRROR,,
"despejarse, aclararse",,MIRROR,,
desperdicio de mai*z [ETR],(a critter) [ETR],,,
desperdicio de mai*z [ETR],(a critter) [ETR],BREAK,,
despertar,,AWAKE,3174,WAKE UP (SOMEONE)
despertarse,,AWAKE,1602,WAKE UP
desperto*,,AWAKE,,
desperto*,,SLEEP,,
despierto,,AWAKE,,
despierto,,SLEEP,,
despierto; vivo [both senses]; entendido,,,,
"desplumar, jalar cabello",,BREAK,,
despulgar,,PUSH,,
destripar,,,,
destripar,,BREAK,,
destriparlo [ETR],"to mash it, to squash it [ETR]",BREAK,,
destripar naranja/mango pretando con la mano,,,,
destripar (salsa de tomate),,BREAK,,
destriparse,[break (pencil],BREAK,,
destriparse [ETR],,BREAK,,
"destruir, romper",,,,
"detenido a medias -- no terminado [ERH,-ETR]",,DISH-SHAPED,,
"deuda, cuenta",,DEBT,,
deuda,,DEBT,1914,DEBT
deuda [ETR],,TAKE,,
de veras,,,,
de veras,,SPEAK,,
,"devil, witch; hell",FEAR,,
devolverlo [ERH],,GO.BACK,,
[de] ...,[weekday name],BURN,,
"diablo, demonio",,WITCHCRAFT,,
diablo [ERH],,WITCHCRAFT,,
diablo,,FEAR,3917,DEVIL
diablo,,WITCHCRAFT,3917,DEVIL
di*a,,BURN,1225,DAY (NOT NIGHT)
diarrea,,GO.BY,,
diarrea,,WATER (in) BELLY,,
"dias, an*os, meses",,"ROLL, WRAP",,
di*as festivos (jueves-sa*bado) [ETR],,,,
di*as intercalarios,,SUN,,
"di*a, sol",,BIG DAY = festival,,
"di*a, sol",,SUN,,
"di*a, sol",,to FALL SUN,,
di*a,,SUN,1225,DAY (NOT NIGHT)
dicen [ETR],,,,
dicen [ETR],,HEAR,,
dicen (que),,,,
diecinueve,,NINETEEN,,
dieciocho,,EIGHTEEN,,
dieciseis,,SIXTEEN,,
diecisiete,,SEVENTEEN,,
"diente, boca",,TOOTH,,
diente molar,,TOOTH,,
diente,,TOOTH,1380,TOOTH
"dieta, ayuno",,,,
diez (10),,TEN,,
diez,,TEN,1515,TEN
difi*cil,,,,
difi*cil,,NOT ERG-STRENGTH,,
difi*cil,,PAIN,,
difi*cil,,TRADE,,
dijo,,,,
dijo,,NOT SAY,,
dijo,,SPEAK,,
dilatando,,BE.THERE,,
dilatando,,SOFT,,
dilatar,,,,
[dinero] aguardado [en pan*uelo amarrado] [ETR],,THEFT,,
dinero] aguardado [en pan*uelo amarrado [ETR],,TIE,,
dinero,,METAL,1559,MONEY
"dinero, oro, plata",,METAL,,
Dios,,,3231,DEITY
Dios,,FATHER,3231,DEITY
Dios,,MOULD,3231,DEITY
dios,,SUN,3231,DEITY
directional de arriba para abajo [ERH],,GO.DOWN,,
directional,down [ETR] [ERH],GO.DOWN,,
directional [ETR] [ERH] hasta abajo [ERH],,GO.DOWN,,
directionl [ETR] [ERH],inside [ETR],GO.IN,,
disenteri*a,,BLOOD,,
,disk-shaped; to (take a) turn,GO.BACK,,
,distant,LONG,1406,FAR
"distinto, diferente",,CHANGE,,
"distinto, diferente",,ONE,,
"dividirlo [ERH,-ETR]",,SCATTER,,
"divine, sacred",,SUN,,
divino,,SUN,,
doblador/ ca*scara/ hoja de mazorca/ mai*z,,,,
doblador de mazorca,,,,
doblar,,BEND,1470,FOLD
"doblar, pachar, plastar (e.g. canasta)",,HANGING,,
doblar (papel),,BEND,,
doblar,,TWIST,1470,FOLD
doble [ETR],,THICK,,
doce,2,TWELVE,1707,TWELVE
doce,,TWELVE,1707,TWELVE
documento [ERH],,,,
dog,,DOG,,
doler,,EAT,,
doler [ETR],,EAT,,
"dolor, afliccio*n",,PAIN,,
dolor,,EAT,1668,GRIEF
dolor [ERH],,PAIN,,
"doloroso, que duele",,EAT,,
dolor,,PAIN,1668,GRIEF
?do*nde?,,,,
donde van a poner una casa,,MOULD,,
dorado [ETR],,YELLOW,,
dorarlo [ETR],,YELLOW,,
dorarse [ETR],,YELLOW,,
dorar,,TOAST,,
dormecer,,SLEEP,,
dormilo*n [ETR],,OWL,,
dormilo*n [ETR],,SLEEP,,
dormilo*n,,OWL,,
dormilo*n,,SLEEP,,
dormir [ERH],to sleep [ETR],SLEEP,,
dormirse,,SLEEP,1585,SLEEP
dormir,,SLEEP,1585,SLEEP
dos,2,TWO,1498,TWO
doscientos,,TWO HUNDRED,,
dos juntos; pareados,,,,
dos,,TWO,1498,TWO
,"dough, lazy",,,
dove,,DOVE,,
,drizzling,,,
,dry,DRY,1786,DRY UP
dueda,,DEBT,,
duele,,PAIN,,
duen*o,,,,
duen*o del campo [ETR]; duen*o del pen*asco [ETR]; duen*o del cerro [ETR],,,,
duen*o del enfermo [ETR],,,,
duen*o del enfermo [ETR],,DIE,,
"duen*o, patro*n",,,,
,dugout,CANOE,,
'dulce' [ERH],,SMELL,,
dulce,,SMELL,717,SWEET
dulce,,WASP,717,SWEET
,dumb,DUMB,1492,DUMB
durmio*,,SLEEP,,
"duro, como corazo*n del palo",,NOT ERG-STRENGTH,,
"duro [ERH,-ETR]",,NOT ERG-STRENGTH,,
"duro, fuerte",,NOT ERG-STRENGTH,,
"duro, macizo",,NOT ERG-STRENGTH,,
duro,,NOT ERG-STRENGTH,1884,HARD
,dust,DUST,2,DUST
,dwell [ETR],HOUSE,,
,eagle,HAWK,1905,EAGLE
,ear,EAR,1247,EAR
earring,,EAR,,
earspool,,EAR,,
earth,,EARTH,,
,"earth, land, town",EARTH,,
eBr,,SIBLINGS,,
"echado [caballo, animal [ETR]",,SPINDLEWHORL,,
echado (chucho),,SPINDLEWHORL,,
echado (como perro),,BEND,,
echado (como perro),,LYING,,
echado (como perro),,"ROLL, WRAP",,
echado (como perro),,TWIST,,
echado (gallina,,BEND,,
"echar agua caliente para limpiar, e.g. panza de res con mierda adentro",,BURN,,
echar copal [ETR],,,,
echar encima; esquivar bien,,BEND,,
echar en remojo,,,,
echar fuerza,,NOT ERG-STRENGTH,,
"echar gallina [ERH,-ETR]",,BEND,,
echar pedo(s),,FART,,
echar pedos,,FART,,
eclipsarse el sol [ERH],,EAT,,
"edificio, mezcla",,MOULD,,
,eight,EIGHT,1705,EIGHT
el ano pasado,,ONE YEAR AGO,,
el ano pasado,,YEAR,,
'El Carr(it)o' [ERH],a constellation [ERH],SCORPION,,
e*l,,distal,,
elefante,,MOUNTAIN COW,1290,ELEPHANT
"e*l, ella",,,,
"el, ella",,,,
eleven,,ELEVEN,,
el fuego que tiene,,FIRE,,
el interior de N,,,,
ella,,distal,1834,SHE
ellos,,,817,THEY
"ellos, ellas",,,817,THEY
ellos,,they,817,THEY
el lucero de la man*ana,,RED,,
el monte,,THICK,,
elote,,,,
elote,,EAT,,
elote tierno (jilote),,,,
elotillo tiernito todavi*a,,BREAK,,
el otro an*o,,ONE,,
el otro an*o,,YEAR,,
el otro,,ONE,,
el pago,,PAY,,
"e*l que asiste, mantiene [ETR]",,WORK,,
el que iba a morir [ERH],,DIE,,
el que puede entrar [ERH],,GO.IN,,
el que va delante de otro,,,,
el que vende,,TRADE,,
el ruido de agua cayendo,,LOOSEN,,
"el saber [ERH,-ETR]",,AWAKE,,
el sonido de agua,,DRIP,,
emarrarse,,HEAD,,
embarazada,,,,
embarazada,,PAIN,,
embarrar,,,,
embarrarlo [ETR],,,,
embolarse,,DRINK,,
emborracharse,,DRINK,,
"embotarse, hincharse, rendirse, aventarse, abultarse, acedarse, hacer mal la comida",,SWELL,,
"embrocado, boca abajo",,TRAP,,
embutido [enf.],,SWELL,,
empedrado mezclado con mezcla,,MOULD,,
empezar a VERBar [ERH],to begin to VERB [ERH],"CARRY, LOAD",,
"empezar (primer an*o de hacer) fiesta, aprender (chima*n) hacer fiesta",,"THINK, KNOW",,
empezo* a trabajar,,GO.IN,,
,"emphatic pron base 'by oneself, oneself alone'",,,
,emphatic pronoun,,,
,emph. pron.,,,
empolvar,,DUST,,
"empozado, un poco de agua echado adentro (agua en un trastecito)",,PLAIN,,
(em)prestado,something lent,CHANGE,,
empty; unoccupied,,SOFT,,
empun*ado,,CLENCH,,
(em)pun*ar,,CLENCH,,
en 3 di*as,,THREE,,
en 4 di*as,,FOUR,,
enagua,,SKIRT,,
enagua,skirt,SKIRT,1600,SKIRT
enano,,LOOSE,,
encallarse [ERH],,THICK,,
encargarlo [ERH],,"PUT, GIVE",,
encarga*r(se)lo [ERH],,WORK,,
encargo,,WORK,,
encerrar,,COVER,,
"encerrar, esconder; tapa",,COVER,,
enchilar,,CHILLI,,
enchilarlo [ETR] [ERH],,BREAK,,
enchilarlo [ETR] [ERH],,CHILLI,,
enchilarse,,CHILLI,,
"encima de, sobre de",,BACK,,
"encima de, sobre de",,FACE,,
"encima de, sobre de",,HAIR,,
"encima de, sobre de",,HEAD,,
"encima de, sobre de",,OVER,,
"encima de, sobre [ETR]",,OVER,,
"encima, sobre",,HEAD,,
encino,,GOOD FIREWOOD = `live oak' ,644,OAK
encino,,GREEN TREE = `ceiba',644,OAK
encino naviden*o,,GOOD FIREWOOD = `live oak' ,,
encino naviden*o,,GREEN TREE = `ceiba',,
encino naviden*o,,OAK,,
encino,,OAK,644,OAK
"encino, roble",,OAK,,
"encino,roble",,OAK,,
encoger los pies [ETR],,SPINDLEWHORL,,
encomienda,,WORK,,
encontrar,,,719,FIND
encontrarlo,,GATHER,,
encorralar,,COVER,,
encorvado,,BEND,,
"encorvado, doblado",,BEND,,
"encorvado, doblado",,HOOK,,
"encorvado, doblado",,TWIST,,
encubrir,,HIDE,,
enderezar (otro poco),,CUT,,
enderezar,,straight,,
"en desfile, por hilada, alineado",,NOT GOOD,,
endoblecerse [ERH],,THICK,,
endulzarse,,SMELL,,
enemigo,,,1358,ENEMY
enemigo,,BIG DAY = festival,1358,ENEMY
enemigo,,ENEMY,1358,ENEMY
enemigo,,HIT,1358,ENEMY
"enemigo, perseguidor [ERH]",,BIG,,
enemigo,,WITCHCRAFT,1358,ENEMY
enfermarse,,PAIN,,
enfermedad,,DIE,1986,DISEASE
enfermedad,,EAT,1986,DISEASE
enfermedad [ETR],,DIE,,
+enfermedad,,PAIN,,
enfermedad,,PAIN,1986,DISEASE
enfermo,,EAT,,
enfermo,,PAIN,,
en forma de bola [ETR],,BALL-SHAPED,,
"en frente, de frente",,,,
enfriar,,,,
"enfriarlo, 'bombearlo' [ETR]",,,,
engan*ar,,"LIE, DECEIVE",,
engan*arlo ? [ERH],,,,
engordarse,,FAT,,
engordarse,,HELP,,
engrandecer,,FULL,,
enloquecerse,,,,
enloquerse,,FOX,,
en medio,,BETWEEN,,
en medio,,MIDDLE,,
enmielar [ERH],hands] to get sticky [from eating fruit [ERH],WASP,,
enojarse,,MISDEED,2215,BECOME ANGRY
"enojo, co*lera",,BIG DAY = festival,,
"enojo, co*lera",,CRAZY,,
"enojo, co*lera, envidia",,BIG DAY = festival,,
"enojo, co*lera",,HIT,,
enojo,,CRAZY,82,ANGER
enredar,,"ROLL, WRAP",,
"enrollado, doblado",,PEEL,,
enrollado,,"ROLL, WRAP",,
enrollado,,TWIST,,
enrollar,,"ROLL, WRAP",,
enrollar,,SPINDLEWHORL,,
"enrollar, torcer",,"ROLL, WRAP",,
"enrollar, volver",,GO.BACK,,
"enroscado [ERH,-ETR]",,SPINDLEWHORL,,
"en secreto; cosa escondida, e.g. tesoro",,HIDE,,
en secreto [ERH];,secretly [ETR],HIDE,,
ensen*ar,,,,
en su casa,,,,
"entenado/a de mujer (""segundo hijo"")",,FEMALE CONNECTED KIN,,
"entender, comprender",,"THINK, KNOW",,
"entender [ERH,-ETR]",,,,
"entender [ERH,-ETR]",,HEAR,,
entero,,ALL,,
entero,,MOULD,,
entero,,ONE,,
enterrado,,HIDE,,
"enterramiento, camposanto",,HIDE,,
"enterrar, esconder",,HIDE,,
enterrar,,HIDE,1719,BURY
enterrarlo,,,,
"entrada (de casa, de pueblo, etc.)",,GO.IN,,
"entrada (de casa, de pueblo, etc.)",,MOUTH,,
"entrada (de casa, de pueblo, etc.)",,NOSE,,
entrada,,GO.IN,,
"entrar [ERH], pasar [ERH]",to enter [ETR],GO.IN,,
entrar,,GO.IN,749,ENTER
entrar la tarde,,HIDE,,
"entrarlo [ERH], pasarlo [ERH]",,GO.IN,,
"entrar, meter",,GO.IN,,
"entrar,meter",,GO.IN,,
"entrar(se), pasar",,GO.IN,,
entre,,BETWEEN,689,BETWEEN
entre,,BREAK,689,BETWEEN
entre cuatro di*as,,FOUR,,
entre,,MIDDLE,689,BETWEEN
"entre-tapado con sus ropa [ERH,-ETR]",,CLOTHING; COTTON,,
entre tres di*as,,THREE,,
entro*,,GO.IN,,
"enviado, mandadero",,WORK,,
enviar,,,3126,POST (SOMETHING)
"envidia, malicia",,WITCHCRAFT,,
envoltura,,"ROLL, WRAP",,
envolverlo [ERH],,"ROLL, WRAP",,
envolver,,"ROLL, WRAP",1113,WRAP
"envolver, vendar",,"ROLL, WRAP",,
"envuelto ~ ""envolvido""",,"ROLL, WRAP",,
epazote,,GOOSEFOOT ,,
epazote,,MEDICINE,,
[ERH],,,,
[ERH],2 days agos [ETR],TWO,,
[ERH],4 days ago [ETR],FOUR,,
[ERH],5 years ago [ETR],FIVE,,
[ERH],a pair of shoes [ERH],,,
[ERH],'a sin' [ERH],,,
[ERH],branding iron [ERH],GO.IN,,
[ERH],,CHANGE,,
[ERH],"female parts [ERH,-ETR]",,,
[ERH],front yard [ERH],UNDER,,
[ERH],,GO.BY,,
[ERH],,GO.DOWN,,
[ERH],,GO.IN,,
[ERH],,GO.OUT,,
[ERH],holy ? [ERH],SUN,,
[ERH],"man, person, people [ERH]",,,
[ERH],,NOT GOOD,,
[ERH] quebrar [ETR],,BREAK,,
[ERH],"shame, embarrassment [ERH]",SHAME,,
[ERH],sim. to king [ERH],SUN,,
[ERH],square [ERH],FOUR,,
[ERH],step-mother,MOTHER,,
[ERH],the side of the body [ERH],BREAK,,
[ERH],"to bark [dog, coyote] [ERH]",BARK,,
[ERH],to lend [ERH] [ETR],CHANGE,,
[ERH],to thunder,SUN,,
[ERH],very [ERH],NOT GOOD,,
[ERH],,"WALK, GO",,
[ERH],,you,,
erisipela [ERH],,,,
eructa,,FART,,
eructar [ETR],,FART,,
eructar,,FART,,
eructo [ETR],,FART,,
eructo*,,FART,,
eructo,,FART,,
escalera,,BRIDGE,2689,LADDER OR STAIRS
escalera,,LADDER,2689,LADDER OR STAIRS
escalofri*os,,,,
escama,,,266,SCALE
escama (de pescado),,fish scale,,
escama (de pescado),,PEEL,,
escama (de pescado),,SKIN,,
escama,scale of fish,PEEL,266,SCALE
escama,scale of fish,THREAD,266,SCALE
escarabajo,,"ROLL, WRAP",2242,BEETLE
escarabajo,,WASP,2242,BEETLE
escarbar,,,,
"escaso, ralo",,THIN,,
"esclavo, tributo",,WORK,,
esclavo,,WORK,812,SLAVE
escoba,,SWEEP,245,BROOM
escobilla,,SWEEP,,
escobillo [plant],,SWEEP,,
escoger,,,1750,CHOOSE
escogerlo [ETR],,,,
esconder,,HIDE,602,HIDE (CONCEAL)
esconderlo [ETR],,HIDE,,
"escondido, aguardado",,HIDE,,
escopeta,,BLOWGUN,,
escopeta [ETR] [ERH],,BLOWGUN,,
escorpio*n [ERH],poisonous lizard: beaded lizard [ERH],SPITTLE,,
escozor [ERH],,ITCH,,
escribiente,,,,
escribir,,,1672,WRITE
escritura,,,,
"escritura, barcino",,,,
"escritura, letra",,,,
escuchar,,COVER,1608,LISTEN
"escuchar, oi*r",,HEAR,,
"escudilla [painted soup bowl], traste",,PLATE,,
escudilla (taza de barro grande),,PLATE,,
escudo,,HEAD,1064,SHIELD
escudo,,HELP,1064,SHIELD
escumite [ETR],bean sp. [ERH],,,
escumite [ETR],bean sp. [ERH],CUT,,
escupirlo [ETR],,SPITTLE,,
escupirlo,,SPITTLE,,
escupir,,SPITTLE,1440,SPIT
"es de e*l, etc.",,,,
es (de ser),,,,
ese (+/-),,,,
ese,,,,
ese,,distal,,
ese (+/- N),,,,
'esflicado' [ERH],,BREAK,,
es igual,,,,
es igual,,MEASURE,,
es igual,,ONE,,
eslabo*n [ERH],,BIG MOUNTAIN = volcano,,
"es necesario, es debido","*it's necessary, ought to",HIT,,
"espacio, lugar",,BE.THERE,,
"espacio, lugar",,BREAK,,
"espacio, lugar",,STANDING,,
espalda,,ARSE,1291,BACK
espalda,,BACK,1291,BACK
espan*ol,,WITCHCRAFT,,
espantaje,,CRAZY,,
espantapa*jaros,,,,
espantapa*jaros,,FEAR,,
espantar,,FEAR,,
espantar; hacer llorar,,,,
espanto [ETR],,FEAR,,
"espanto, fantasma",,FEAR,,
"espanto, mied[os]o, susto [enf.]",,FEAR,,
espanto,,WITCHCRAFT,,
especie de frijol,,,,
especie de lechuza,,OWL,,
especie de mono,,MONKEY,,
espejo,,MIRROR,1171,MIRROR
"espejo, vidrio",,MIRROR,,
esperanza,,"CRICKET, GRASSHOPPER",1092,HOPE
esperar,,WAIT,1590,WAIT (FOR)
espeso,,NOT ERG-STRENGTH,,
espeso,,(to hit with) something thick,,
espina [ETR],,THORN,,
espina grande,,POINTED,,
espina,,THORN,805,SPINE
(espinilla de la) pierna,,,,
espinilla,,KNEE,186,SHIN
"espinilla, pantorrilla",,EAT,,
"espinilla, pantorrilla",,KNEE,,
esposa,,,1199,WIFE
esposa [ETR],,,,
esposa,,IN-LAWS,1199,WIFE
esposa; vieja,,,,
esposo,,,1200,HUSBAND
"esposo [ERH,-ETR]",,,,
"esposo [ERH,-ETR]",,old man,,
"esposo [ERH,-ETR]",,SIBLINGS,,
espuma,,BUBBLE,1768,FOAM
"espuma, burbuja",,BUBBLE,,
espumo*,,BUBBLE,,
esquina,,CORNER,192,CORNER
esquina,,EAR,192,CORNER
esquina [ERH],,CORNER,,
"esquina, lado",,CORNER,,
"esquina,lado",,CORNER,,
"esquina, rinco*n",,CORNER,,
esquina; rinco*n,,CORNER,,
esquina; rinco*n,,HOOK,,
esquina,the corner,CORNER,192,CORNER
esquivado [ETR],,,,
esta*,,BE.THERE,,
!esta* bien!,,,,
"esta bie*n, bueno, si*",,,,
estaca,,,,
estaca para sembrar,,,,
esta* en su regla,,MAKE,,
esta* pastando,,VINE,,
esta* relampagueando,,THUNDER,,
estar entrando [ERH],,GO.IN,,
"estar, existir, haber",,BE.THERE,,
estar lambie*ndolo [ETR],,EAT,,
estar moviendo con paleta,,BETWEEN,,
estar transparente [ERH],,MIRROR,,
esta sangrando,,BLOOD,,
esta*,,STANDING,,
!estate como gente! [ERH],,,,
esta* triste,,PAIN,,
e*ste,,distal,1214,THIS
este [ETR],,proximal,,
este [ETR],this one [ETR],proximal,,
este (+/- N),,,,
e*ste,,proximal,1214,THIS
"estero de la mar, laguna, cie*naga",,,,
este,this,,1214,THIS
"estie*rcol, mierda",,SHIT,,
estirar/jalar [honda] pra tirar,,"THROW, SHOOT",,
esto,,,,
esto*mago,,,1251,BELLY
esto*mago,,SHIT,1251,BELLY
"estorbar, molestar",,,,
"estorbo*, obstruyo*, impidio*",,,,
"estorbo*, obstruyo*, impidio*",,BIG DAY = festival,,
"estorbo*, obstruyo*, impidio*",,COVER,,
"estorbo*, obstruyo*, impidio*",,CUT,,
"estorbo*, obstruyo*, impidio*",,HIT,,
estornudar,,SNEEZE,1621,SNEEZE
estornudo*,,SNEEZE,,
estornudo,,SNEEZE,,
estoy durmiendo,,SLEEP,,
estrecho,,,1267,NARROW
"estrecho, angosto",,,1267,NARROW
estrella,,,1430,STAR
estrella,,BIG STAR = `Venus',1430,STAR
estrella,,STAR,1430,STAR
estrella,,YELLOW,1430,STAR
estudiarlo [ERH],,"THINK, KNOW",,
estuvo,,BE.THERE,,
estuvo,,STANDING,,
[ETR],,BLOOD,,
[ETR],,COVER,,
[ETR],,GO.BY,,
[ETR],,GO.OUT,,
[ETR] hacerlo llorar [ERH],,,,
[ETR] lograrlo [ERH],,BREAK,,
[ETR] rajarlo [ERH],,BREAK,,
eucuadernacio*n [ERH],,,,
exclamation,,,,
"expectorar, toser",,COUGH,,
"explicar, ensen*ar, [a]rreglar",,,,
explicar [ERH],,,,
exploto*,,,,
exploto*,,BREAK,,
"extendido, ""destendido"" [ERH,-ETR]",,SPREAD,,
extranjero,,CHANGE,,
"extranjero, forastero, desconocido",,ARRIVE.HERE,,
"extranjero, forastero, desconocido",,LONG,,
"extranjero, forastero, desconocido",,TOWN,,
"extranjero, forastero, desconocido",,TRADE,,
,eyebrow,HAIR,1173,EYEBROW
,"eye, face, fruit",FACE,,
,eyeglasses [ETR],MIRROR,,
Fa-Br,,FATHER,,
face; fruit,,FACE,,
fa*cil,,PAIN,,
fa*cil,,TRADE,,
facing someone/something,,facing someone(/something?),,
faena [ERH],,CUT,,
"faja, banda",,ROPE,,
"faja, cinturo*n",[wart?],TIE,,
faja,,GRAB,772,BELT
faja,,SASH,772,BELT
faja,,TIE,772,BELT
"fallo*, se equivoco*",,,,
"fallo*, se equivoco*",,NOT GOOD,,
"fallo*, se equivoco*",,"SCRAPE, SCRATCH",,
"fallo*, se equivoco*",,TRADE,,
falsar firma,,"LIE, DECEIVE",,
falso,,BREAK,,
falto*,,,,
falto* (algo),,,,
falto* (algo),,GRAB,,
falto* (algo),,MOULD,,
falto*,,GRAB,,
falto*,,MOULD,,
falto*,,NO LLEGAR,,
"familiares que tienen los brujos, que es algun animal, etc.",,SLEEP,,
"fantasma, espanto",,WITCHCRAFT,,
fantasma,,FEAR,1175,GHOST
fantasma,ghost,WITCHCRAFT,1175,GHOST
fantasma,,WITCHCRAFT,1175,GHOST
,far,LONG,1406,FAR
,fart,FART,1159,FART
Fa-Si-Wi,,cousin,,
fast,,,,
,fast (ayuno),,,
,father; male,FATHER,,
fea cosa,,BAD-SMELLING,,
,(feather of) quetzal,QUETZAL,,
fellow,,,,
fellow,,fellow,,
fellow-,,fellow,,
,female [animal] [ETR],MOTHER,,
,(female) blackbird,GRACKLE,,
,female parts [ERH],,,
,"female parts [ERH,-ETR]",,,
,"female, relatively smaller or weaker",,,
,"female, relatively small/inactive being",,,
feo,,,1548,UGLY
feo,,WITCHCRAFT,1548,UGLY
,fern,FERN,3802,FERN
"fiado, deuda",,DEBT,,
fiar,,DEBT,,
"fierro, metal, cuchillo",,METAL,,
"fierro, metal, dinero",,METAL,,
"fierro, metal",,METAL,,
fiesta,,BIG,,
fiesta,,BIG DAY = festival,,
fiesta,,DRUM,,
"fiesta, sol, di*a",,SUN,,
fiesta,,SUN,,
"fijate! [ERH,-ETR]",,SEE,,
"fila, hilera",,STRAIGHTEN,,
fila,,WHETSTONE,,
"filo, punta",,HAIR,,
finca [ERH],,,,
,finger [ETR],FEMALE CONNECTED KIN,,
,finger [ETR],MAIZE of HAND = finger,,
,fingernail [ERH],NAIL,,
fino,,FINE,,
fino,,MAKE,,
"fino - masa, polvo",,FINE,,
finquero [ERH],,,,
,fire,FIRE,221,FIRE
fire,,FIRE,,
,firewood,FIREWOOD,10,FIREWOOD
,first,HEAD,1882,BEFORE
,fish,,227,FISH
fish,,,,
,five,FIVE,493,FIVE
"flauta, pito",,FLUTE,,
"flauta, pito",,REED,,
,flea,FLEA,232,FLEA
flecha,,BLOWGUN,977,ARROW
flecha,,SPEAR,977,ARROW
flecha,,"THROW, SHOOT",977,ARROW
,flint,,,
flint,,,,
flojo,,HELP,1564,LAZY
flojo,,LOOSE,1564,LAZY
flojo,,SOFT,1564,LAZY
flor amarilla,,FLOWER,,
flor amarilla,,NAVEL,,
flor amarilla,,YELLOW,,
flor de calabaza [ETR],,SQUASH,,
flor de la planta del mai*z,,,,
flor del chilacayote,,FLOWER,,
flor de mai*z,,,,
flor de milpa,,,,
flor de muerto,,,,
flor de muerto [ETR],,,,
"(flor de ) pacaya, tepejilote",,,,
flor,,FLOWER,239,FLOWER
flor,,NAVEL,239,FLOWER
flor,,SMELL,239,FLOWER
"floto*, sobrenado*",,SWIM,,
,flower -- a real flowering decorative flower [ETR],FLOWER,,
flower,,FLOWER,,
,fly,FLY,1504,FLY (INSECT)
"fog, dew",,SHADOW; CLOUD,,
fogo*n (fuego grande),,FIRE,,
fog,,SHADOW; CLOUD,,
fondo,,,690,BOTTOM
fondo,,ARSE,690,BOTTOM
fondo,,DEEP,690,BOTTOM
fondo,,UNDER,690,BOTTOM
?food,,EAT,,
,foot,BIG its FOOT = tall,2098,FOOT OR LEG
"foot, leg",,BIG its FOOT = tall,,
,forked,LEAF,,
forma de anillo,,TWIST,,
fotografi*a,,MEASURE,,
,four,FOUR,1500,FOUR
four,,FOUR,,
"fracaso*, no pudo",,MOULD,,
franela [ERH],,CLOTHING; COTTON,,
franela [ERH] [ETR],('soft cloth'),SOFT,,
frei*r,,TOAST,991,FRY
"frente a, delante de",,FACE,,
frente,,BIG its FACE = wide,1173,EYEBROW
frente [ERH],forehead [ETR],BIG its FACE = wide,,
frente,,FACE,1173,EYEBROW
frente,,HAIR,1173,EYEBROW
frijol,,,832,BEAN
frijol blanco,,,,
frijol blanco,,WHITE,,
frijol colo*n [coloradito] [ETR],,,,
frijol colo*n [ERH],,,,
frijol colorado,,,,
frijol colorado,,RED,,
frijol del suelo [ETR],,,,
frijol de vaina (es largo; se come como ejote) [ETR],,,,
frijol de vaina (es largo; se come como ejote) [ETR],,ROPE,,
frijol de vara (bo*til),,,,
frijol de vara [ERH] [ETR],,,,
frijol (ix)tapacal,,,,
"frijol, rin*o*n",,,,
fri*o,,,1287,COLD
"fri*o (agua, comida)",,,,
"fri*o (ambiente, di*a)",,,,
fri*o; paludismo [enf.],,,,
"front, top, first; face; image",,HEAD,,
,front yard [ETR],TOWN,,
frotar,,TWIST,1449,RUB
frothy,,BUBBLE,,
fruta,,EAT,1507,FRUIT
fruta,,FACE,1507,FRUIT
"fruta/""oreja"" de guanacastle",,CORNER,,
fruta que se cae de madura,,COOK,,
"frutas, piedras",,"ROLL, WRAP",,
"fuego, calentura [enf.], luna",,FIRE,,
fuego,,FIRE,221,FIRE
fuerte,,,785,STRONG
fuerte,,AWAKE,785,STRONG
"fuerte, dificil",,NOT ERG-STRENGTH,,
"fuerte, duro",,NOT ERG-STRENGTH,,
fuerte,,NOT ERG-STRENGTH,785,STRONG
fuerte tabaco,,PAIN,,
fuerte,,THICK,785,STRONG
fuerza,,BIG,202,STRENGTH
fuerza [ERH],,NOT ERG-STRENGTH,,
fuerza,,NOT ERG-STRENGTH,202,STRENGTH
fuerzas,,BIG,,
,[full],FULL,,
,full,FULL,1429,FULL
"fumar [ETR,ERH]",,TOBACCO,,
fumarlo [ETR],,TOBACCO,,
future auxiliary,,"WALK, GO",,
"gajito de a*rbol [ERH,-ETR]",,MAIZE of HAND = finger,,
gallina,,BIRD,1318,CHICKEN
